cone_id,x,y,color
1,-5.595690073727175,8.953125159727323,blue
2,-6.603990848642161,16.90625016053048,blue
3,6.542371449990358,9.304687650058826,yellow
5,6.152366039082946,12.852316719693599,yellow
9,-6.07126568814059,10.222318793486615,blue
11,7.688902777206199,10.065193843797621,yellow
24,7.78915605255414,9.31785345866217,blue
25,7.696578688031177,9.250000149139451,blue
26,7.72263379933576,9.238275436249376,blue
27,7.725904164784324,9.24218764911609,blue
28,7.725904164784324,9.24218764911609,blue
29,7.725904164784324,9.24218764911609,blue
30,7.7226397257378085,9.238282525777047,blue
31,7.725904164784324,9.24218764911609,blue
32,7.725904164784325,9.24218764911609,blue
33,7.725904164784323,9.242187649116092,blue
34,7.725904164784323,9.24218764911609,blue
35,7.725904164784325,9.24218764911609,blue
36,7.725904164784323,9.24218764911609,blue
37,7.722640213874094,9.23828310971578,blue
38,7.725904164784324,9.24218764911609,blue
39,7.725904164784324,9.24218764911609,blue
40,7.725904164784323,9.24218764911609,blue
41,7.725904164784325,9.24218764911609,blue
42,7.722641849770235,9.238285066675646,blue
43,7.725904164784324,9.24218764911609,blue
44,7.725904164784324,9.24218764911609,blue
45,7.725904164784324,9.24218764911609,blue
46,7.722648537996453,9.238293067544383,blue
47,7.719373403059351,9.234375149121293,blue
48,7.722645331544794,9.238289231789132,blue
49,7.725904164784323,9.24218764911609,blue
50,7.722648802581109,9.238293384056865,blue
51,7.725904164784324,9.24218764911609,blue
52,7.722627261928653,9.238267615799764,blue
53,7.725904164784324,9.24218764911609,blue
54,7.725904164784324,9.242187649116092,blue
55,7.719370650669269,9.234371856542507,blue
56,7.722480234181355,9.23809173213973,blue
57,7.725904164784323,9.24218764911609,blue
58,7.725904164784323,9.24218764911609,blue
59,7.725904164784323,9.24218764911609,blue
60,7.725904164784325,9.24218764911609,blue
61,7.725904164784324,9.24218764911609,blue
62,7.7291290583268655,9.246045465684102,blue
63,7.725904164784323,9.24218764911609,blue
64,7.725840787860763,9.242111833731018,blue
