Timestamp (s),X (m),Y (m),Yaw (rad),Velocity (m/s),Acceleration (m/s^2),Steering Angle (rad)
1759926363.8379462,0.0,0.0,0.0,0.0,0.0,0.013973141565618831
1759926364.0662618,0.0003149998713666614,1.4142505694574163e-06,1.98879054247314e-06,0.0450008491081301,0.19709932532841823,0.013972844843363547
1759926364.2538414,0.06900787489096138,0.0004542508489289854,0.0006095328833350955,0.6448811932934274,3.1980036340382902,0.013882286412302585
1759926364.4534469,0.2576150846584641,0.001908887126064754,0.0022739060016050416,1.244075660305928,3.001894097472306,0.013666041370527628
1759926364.6271775,0.49470510802874085,0.004168080122262875,0.004351927106104547,1.7225012149269072,2.753835663507514,0.016068902088360773
1759926364.8246534,0.8869897837968771,0.009213521324883215,0.00811056522333109,2.303891302812554,2.944106384094055,0.013622546906118018
1759926365.017722,1.40682410534569,0.017893686394586703,0.0127986994330338,2.897705080318667,3.075663633258335,0.015312096347959027
1759926365.2023485,1.9759185973623707,0.030218107557145456,0.018131498937789647,3.4295809715199312,2.8808197241264333,0.01879435361154543
1759926365.3915374,2.7200417886250534,0.05214771526201779,0.026524184695372544,4.017193691762251,3.1059567582295027,0.018220681858160757
1759926365.5900738,3.266379086363253,0.07330665245185033,0.03386061841950205,4.396928370552852,1.9126703535995628,0.11878859372256044
1759926365.7880664,4.438203599187807,0.13759167129647373,0.0576758996558433,4.79517137824885,2.011403868729209,0.008677924389317722
1759926366.0170946,5.622644762952571,0.34688098632494724,0.17775632893216686,5.140643846882505,1.5084274818813963,-0.02421948901702592
1759926366.1985087,6.271470165693958,0.49249767153352264,0.20088525309557204,5.500692645691178,1.984678944624448,-0.13270895434860894
1759926366.3858283,7.550493206869055,0.7244495963947468,0.17057841759602033,5.891689089836278,2.08732357484147,-0.10162746129951915
1759926366.5741334,8.489904709442666,0.783679959273328,0.05801634576704817,6.036748884936265,0.7703443222691234,-0.252644218288041
1759926366.7554839,9.82102996741116,0.6985372495888803,-0.05967665399325872,6.466529753853115,2.3698911278825014,0.08354717967071056
1759926366.9390876,10.975166750339268,0.46727242300655286,-0.20660970699181425,6.542807817896703,0.4154493489465899,0.07755004948305774
1759926367.136755,12.22218553205964,0.12671642860587112,-0.2554812202372454,6.547177449225223,0.022105983111020702,0.2991811406331558
1759926367.317145,13.501277134463153,-0.10366354887704242,-0.15481871715473616,6.650780418063318,0.5743272918441568,0.18996634004205634
1759926367.5161614,14.477781614739532,-0.09045235447798419,0.01305574945163368,6.561673781908172,-0.44773529377835536,0.45435633149184895
1759926367.6962178,15.70825888735366,0.2057617374962168,0.24036814572242893,6.715522632189357,0.8544484231953393,0.15848656732157096
1759926367.8864768,16.966525431307545,0.8499402593364547,0.49052549542447554,6.405424919797724,-1.6298716240458373,-0.0343254776834032
1759926368.0776641,17.979154366499184,1.5963892862563565,0.6406153191157964,6.500707684115347,0.4983737077639074,-0.509006896790833
1759926368.2646713,18.926005827935498,2.389023080304676,0.6792870231210619,6.865123580688258,1.9486731976303733,-0.31415938547894456
1759926368.444939,19.573405821704554,2.8482034023630844,0.6145786330764524,6.260435434253301,-3.3543922424566235,-0.31569866447791095
1759926368.6242971,20.90840273898031,3.3458215980160095,0.29546667060078446,5.7202238530662255,-3.0119138619632184,-0.08123353143837518
1759926368.8125677,21.677480575503733,3.382550154431049,0.10841418410152048,5.1833149864058115,-2.851793936496081,-0.0878209873285635
1759926369.0135179,22.903197124849633,3.3560934768351833,-0.0062043684992012516,5.222953661788066,0.1972562659257922,0.16843466082136158
1759926369.1911085,23.632679568499814,3.316116757262172,-0.037164139698985466,4.71672922499238,-2.8505135535911554,0.3038640187132403
1759926369.3729851,24.653568345417796,3.351939144152192,0.04301097962824718,4.804685783936477,0.48360553375839904,0.0670919143214722
1759926369.554849,25.2517785563367,3.478435770126371,0.15157416427343806,4.138680370095571,-3.6621112587632885,-0.05799642654103937
1759926369.7431443,26.022222587901517,3.7007056763082407,0.24062454608223138,4.1782314252084936,0.21004794909942104,-0.287365166764207
1759926369.9326916,26.894936784954798,3.897663908233043,0.2103621973761971,3.530093926284475,-3.419397151875625,-0.28134329015667664
1759926370.1237447,27.530236733041967,3.936811439075823,0.10983426031882937,3.284795206774032,-1.2839291937049153,-0.31415926707822933
1759926370.3308215,28.23163001325709,3.84479436409856,-0.06425362853790917,3.8229932364899257,2.599026356587402,-0.3141594420068785
1759926370.5153923,28.926237562777708,3.607181951009316,-0.2585816587704901,4.339443430906252,2.79811445934123,-0.299041070930662
1759926370.7005694,29.693556061262726,3.1444463194360264,-0.4967987855603142,4.416757758068635,0.41751562295138855,-0.16062212392488814
1759926370.8906174,30.257758307160778,2.65067606383562,-0.6497122406492224,4.2115269026108875,-1.079889700245324,-0.20499907117076074
1759926371.0840116,30.70265033040948,2.223289895124922,-0.7245729476041505,4.607802154908791,2.049054650305745,-0.3141535766128171
1759926371.2740767,31.42199231775606,1.286918136270092,-0.9321264851261222,5.130010094937014,2.7475207970136846,-0.2516913063188722
1759926371.4688725,31.757302327474516,0.3884615506973372,-1.1722961675330166,4.81744828712032,-1.6045609427927527,-0.1325838983726512
1759926371.6865118,31.902002380409574,-0.6928845003443095,-1.4373773680930533,4.897091816890579,0.36594293170200315,-0.22853203780679532
1759926371.8899221,31.82728405172929,-1.6003326381029812,-1.6087868273547363,5.262764297248669,1.7977080014485582,-0.0022856294850708675
1759926372.0951319,31.60468360586954,-2.489945619400947,-1.792769274792013,4.881057509240801,-1.8600813138059578,0.18738404345427978
1759926372.2852883,31.230978797117025,-3.5409782316612577,-1.8818880862683696,4.381117101292058,-2.6291003127246424,0.2573934067517819
1759926372.475457,31.021604440548224,-4.373551513403471,-1.8205871033582235,4.504369168932405,0.6481199063622332,0.02172368410676101
1759926372.6705236,30.960126877700716,-5.2617539052651745,-1.6697969882504815,4.345788542996553,-0.8129559463695702,-0.024705680976107775
1759926372.8689227,30.97003301576047,-5.9876150630771034,-1.5959871540998292,4.750848042567403,2.0416401440228213,-0.27879654071642873
1759926373.082992,30.922537612342044,-7.140396340566443,-1.6320602922956167,4.762130783564592,0.05270600452566932,-0.14232430645837393
1759926373.3010004,30.662622559694817,-8.10867161684083,-1.8192278685686427,4.643368052726491,-0.5447624785023161,-0.25800699000035354
1759926373.4893725,30.409929501836835,-8.75263956524928,-1.9082234197986265,4.956264454670176,1.6610546017010785,-0.07746884266856917
1759926373.6804116,29.754167338339546,-9.750550382057163,-2.178443285489899,4.6485210420369265,-1.6108924098329285,-0.01197510456521975
1759926373.874441,29.16739458059831,-10.251046021786257,-2.3589281004084977,4.218072608676921,-2.218470942932702,0.04538344109850423
1759926374.0735617,28.47378078637086,-10.83882060876291,-2.4090749480712566,3.989972341044163,-1.1455373496666512,0.21156830600460752
1759926374.2878387,27.997213325266685,-11.289642626275475,-2.3901255090048728,4.0848238506894745,0.44265831979928494,0.0082136832124156
1759926374.4816582,27.356752491963295,-12.082435382879716,-2.2546910972554994,4.352133772966811,1.3791692309223098,-0.04475179413848855
1759926374.6753635,26.985124342067206,-12.665789267771705,-2.180249168628262,4.672185065061599,1.6522586550685472,-0.22466423071642683
1759926374.8680131,26.467871569367365,-13.418201500079366,-2.1881096272384886,5.20136832444449,2.746869193833777,-0.1885988743302091
1759926375.0586822,25.678440765583872,-14.198893834393449,-2.380187649144341,4.371946177060746,-4.350061559313249,-0.2872901164718256
1759926375.2563474,25.049160954867638,-14.57566510493361,-2.538654346500461,4.598675046067023,1.1470347452663767,-0.038411198586472406
1759926375.4520676,23.926502421988914,-14.944319329404419,-2.8153856195191453,4.3477108112842275,-1.2822602889554504,0.04309551980521719
1759926375.673647,23.04178409292341,-15.142098528387452,-2.8879526066075094,4.802280788983554,2.051500074506515,0.20855130945054176
1759926375.876944,21.975142635282,-15.492119114514662,-2.81110205378671,5.411906678943155,2.998693908408819,0.040871699704348036
1759926376.0749714,21.04726435130542,-16.021442850213898,-2.625605333528437,5.0553745082541335,-1.8004186312206263,0.003977650979319275
1759926376.2690473,20.46546012902277,-16.488733328260125,-2.512856955619974,5.311362158841792,1.3190084517205731,-0.096099846031065
1759926376.4697073,19.4437659018629,-17.328234350616935,-2.4740347400244067,5.879751044620552,2.83259699603673,-0.10783134687407306
